candidate,features,probe,population,rep,entries,fs_list_dir_ns,fold_ns,next_id,peak_rss_kb,wall_s,status
C1,listshare,nullloop-probe,1000000,3,1000000,0,556860987,,5632,0.5587,0
C0r,none,blockid-probe,1000,1,1000,1007833,34728368,1000,5672,0.0384,0
C0r,none,blockid-probe,1000,2,1000,838910,34177831,1000,5628,0.0377,0
C0r,none,blockid-probe,1000,3,1000,1018163,34067169,1000,5640,0.0382,0
C0r,none,listonly-probe,1000,1,1000,0,19914256,,5676,0.0216,0
C0r,none,listonly-probe,1000,2,1000,0,19378280,,5640,0.0212,0
C0r,none,listonly-probe,1000,3,1000,0,19742994,,5676,0.0220,0
C0r,none,resolve-fe-probe,1000,1,1000,892832,1328027,1000,5636,0.0048,0
C0r,none,resolve-fe-probe,1000,2,1000,858491,1218626,1000,5680,0.0048,0
C0r,none,resolve-fe-probe,1000,3,1000,876381,1191905,1000,5668,0.0046,0
C0r,none,nullloop-probe,1000,1,1000,0,662439,,5676,0.0023,0
C0r,none,nullloop-probe,1000,2,1000,0,635989,,5664,0.0023,0
C0r,none,nullloop-probe,1000,3,1000,0,656759,,5640,0.0024,0
C0r,none,blockid-probe,10000,1,10000,8611191,3587253039,10000,5632,3.6071,0
C0r,none,blockid-probe,10000,2,10000,8935285,3559375719,10000,5672,3.5795,0
C0r,none,blockid-probe,10000,3,10000,9070577,3562497080,10000,5628,3.5832,0
C0r,none,listonly-probe,10000,1,10000,0,1953532994,,5672,1.9554,0
C0r,none,listonly-probe,10000,2,10000,0,1952324356,,5640,1.9541,0
C0r,none,listonly-probe,10000,3,10000,0,1938958010,,5704,1.9408,0
C0r,none,resolve-fe-probe,10000,1,10000,8863474,13766537,10000,5676,0.0338,0
C0r,none,resolve-fe-probe,10000,2,10000,8832244,14222192,10000,5628,0.0343,0
C0r,none,resolve-fe-probe,10000,3,10000,9008466,12978297,10000,5632,0.0331,0
C0r,none,nullloop-probe,10000,1,10000,0,5465471,,5704,0.0072,0
C0r,none,nullloop-probe,10000,2,10000,0,5414919,,5704,0.0071,0
C0r,none,nullloop-probe,10000,3,10000,0,6157400,,5640,0.0078,0
C0,none,blockid-probe,1000,1,1000,941742,35284374,1000,5684,0.0386,0
C0,none,blockid-probe,1000,2,1000,1037443,34289892,1000,5632,0.0383,0
C0,none,blockid-probe,1000,3,1000,922951,34698537,1000,5708,0.0383,0
C0,none,blockid-probe,1000,4,1000,931582,34824547,1000,5628,0.0389,0
C0,none,blockid-probe,1000,5,1000,913622,35081180,1000,5640,0.0389,0
C0,none,blockid-probe,1000,6,1000,998523,35152731,1000,5680,0.0391,0
C0,none,blockid-probe,1000,7,1000,935262,34423783,1000,5640,0.0379,0
C0,none,blockid-probe,1000,8,1000,1158055,35023381,1000,5632,0.0390,0
C0,none,blockid-probe,1000,9,1000,965403,34736386,1000,5640,0.0387,0
C0,none,listonly-probe,1000,1,1000,0,19439460,,5644,0.0212,0
C0,none,listonly-probe,1000,2,1000,0,19489321,,5628,0.0213,0
C0,none,listonly-probe,1000,3,1000,0,19694603,,5704,0.0216,0
C0,none,listonly-probe,1000,4,1000,0,19643173,,5704,0.0214,0
C0,none,listonly-probe,1000,5,1000,0,19841045,,5704,0.0216,0
C0,none,listonly-probe,1000,6,1000,0,19972477,,5704,0.0218,0
C0,none,listonly-probe,1000,7,1000,0,19994688,,5700,0.0216,0
C0,none,listonly-probe,1000,8,1000,0,19362599,,5704,0.0212,0
C0,none,listonly-probe,1000,9,1000,0,19378130,,5668,0.0209,0
C0,none,resolve-fe-probe,1000,1,1000,959172,1304817,1000,5672,0.0048,0
C0,none,resolve-fe-probe,1000,2,1000,989973,1173924,1000,5636,0.0055,0
C0,none,resolve-fe-probe,1000,3,1000,862551,1223626,1000,5676,0.0049,0
C0,none,resolve-fe-probe,1000,4,1000,784840,1417608,1000,5680,0.0046,0
C0,none,resolve-fe-probe,1000,5,1000,930462,1250185,1000,5624,0.0049,0
C0,none,resolve-fe-probe,1000,6,1000,914091,1494880,1000,5684,0.0052,0
C0,none,resolve-fe-probe,1000,7,1000,858970,1337939,1000,5696,0.0047,0
C0,none,resolve-fe-probe,1000,8,1000,895771,1297437,1000,5636,0.0047,0
C0,none,resolve-fe-probe,1000,9,1000,1032003,1183665,1000,5700,0.0050,0
C0,none,nullloop-probe,1000,1,1000,0,721469,,5708,0.0021,0
C0,none,nullloop-probe,1000,2,1000,0,703539,,5680,0.0024,0
C0,none,nullloop-probe,1000,3,1000,0,572278,,5672,0.0021,0
C0,none,nullloop-probe,1000,4,1000,0,559857,,5668,0.0025,0
C0,none,nullloop-probe,1000,5,1000,0,702239,,5640,0.0024,0
C0,none,nullloop-probe,1000,6,1000,0,558977,,5680,0.0026,0
C0,none,nullloop-probe,1000,7,1000,0,681629,,5644,0.0024,0
C0,none,nullloop-probe,1000,8,1000,0,564087,,5672,0.0023,0
C0,none,nullloop-probe,1000,9,1000,0,662098,,5704,0.0022,0
C0r,none,blockid-probe,1000,1,1000,936012,34349312,1000,5640,0.0381,0
C0r,none,blockid-probe,1000,2,1000,836250,34190251,1000,5676,0.0377,0
C0r,none,blockid-probe,1000,3,1000,917022,33943616,1000,5708,0.0374,0
C0r,none,blockid-probe,1000,4,1000,880582,34366951,1000,5640,0.0379,0
C0r,none,blockid-probe,1000,5,1000,881242,35010139,1000,5704,0.0387,0
C0r,none,blockid-probe,1000,6,1000,784510,34689356,1000,5672,0.0380,0
C0r,none,blockid-probe,1000,7,1000,772200,34806487,1000,5668,0.0382,0
C0r,none,blockid-probe,1000,8,1000,780240,34209530,1000,5708,0.0379,0
C0r,none,blockid-probe,1000,9,1000,763159,34134190,1000,5672,0.0374,0
C0r,none,listonly-probe,1000,1,1000,0,19406759,,5684,0.0212,0
C0r,none,listonly-probe,1000,2,1000,0,20118218,,5680,0.0221,0
C0r,none,listonly-probe,1000,3,1000,0,19869206,,5624,0.0218,0
C0r,none,listonly-probe,1000,4,1000,0,20449083,,5704,0.0223,0
C0r,none,listonly-probe,1000,5,1000,0,19453760,,5684,0.0215,0
C0r,none,listonly-probe,1000,6,1000,0,19632562,,5704,0.0216,0
C0r,none,listonly-probe,1000,7,1000,0,20011067,,5708,0.0217,0
C0r,none,listonly-probe,1000,8,1000,0,19556902,,5676,0.0213,0
C0r,none,listonly-probe,1000,9,1000,0,20035357,,5640,0.0223,0
C0r,none,resolve-fe-probe,1000,1,1000,885961,1403449,1000,5700,0.0050,0
C0r,none,resolve-fe-probe,1000,2,1000,876592,1224105,1000,5700,0.0047,0
C0r,none,resolve-fe-probe,1000,3,1000,980492,1183596,1000,5680,0.0047,0
C0r,none,resolve-fe-probe,1000,4,1000,940142,1162925,1000,5624,0.0049,0
C0r,none,resolve-fe-probe,1000,5,1000,938432,1315437,1000,5676,0.0049,0
C0r,none,resolve-fe-probe,1000,6,1000,1069583,1026604,1000,5676,0.0050,0
C0r,none,resolve-fe-probe,1000,7,1000,962372,1225406,1000,5676,0.0047,0
C0r,none,resolve-fe-probe,1000,8,1000,934532,1171615,1000,5664,0.0045,0
C0r,none,resolve-fe-probe,1000,9,1000,757570,1357437,1000,5668,0.0047,0
C0r,none,nullloop-probe,1000,1,1000,0,694519,,5636,0.0021,0
C0r,none,nullloop-probe,1000,2,1000,0,700819,,5704,0.0022,0
C0r,none,nullloop-probe,1000,3,1000,0,628139,,5632,0.0023,0
C0r,none,nullloop-probe,1000,4,1000,0,656649,,5684,0.0021,0
C0r,none,nullloop-probe,1000,5,1000,0,671409,,5640,0.0023,0
C0r,none,nullloop-probe,1000,6,1000,0,590078,,5640,0.0025,0
C0r,none,nullloop-probe,1000,7,1000,0,700009,,5708,0.0024,0
C0r,none,nullloop-probe,1000,8,1000,0,590097,,5680,0.0025,0
C0r,none,nullloop-probe,1000,9,1000,0,555527,,5704,0.0024,0
C0r,none,resolve-fe-probe,1000000,1,1000000,1625676063,1554029058,1000000,188604,4.9039,0
C0r,none,resolve-fe-probe,1000000,2,1000000,1543491173,1686486771,1000000,188468,4.8738,0
C0r,none,resolve-fe-probe,1000000,3,1000000,1513781323,1495984251,1000000,188504,4.6156,0
C0r,none,nullloop-probe,1000000,1,1000000,0,563526910,,5708,0.5654,0
C0r,none,nullloop-probe,1000000,2,1000000,0,547365334,,5680,0.5493,0
C0r,none,nullloop-probe,1000000,3,1000000,0,540180983,,5644,0.5426,0
